1755934088: mosquitto version 2.0.18 starting
1755934088: Config loaded from C:\Users\devcloud\Desktop\Clean\clean-final-push\qt_app_pyside1\services\mqtt\mosquitto.conf.
1755934088: Opening ipv4 listen socket on port 1883.
1755934088: Opening websockets listen socket on port 9001.
1755934088: mosquitto version 2.0.18 running
1755935889: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755937690: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755939491: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755941292: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755943093: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755944894: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755946695: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755948496: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755950297: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755952098: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755953899: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755955700: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755957501: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755959302: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755961103: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755962904: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755964705: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755966506: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755968307: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755970108: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755971909: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755973710: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755975511: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755977312: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755979113: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755980914: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755982715: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755984516: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755986317: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755988118: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755989919: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755991720: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755993521: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755995322: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755997123: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1755998924: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1756000725: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1756002526: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1756004327: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1756006128: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1756007930: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1756009731: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1756011532: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1756013333: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1756015134: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1756016935: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1756018736: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1756020537: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1756022338: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1756024139: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1756025940: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1756027741: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1756029542: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1756031343: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1756033144: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1756034945: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1756036746: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1756038547: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1756040348: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1756042149: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
1756043950: Saving in-memory database to C:/Users/devcloud/Desktop/Clean/clean-final-push/qt_app_pyside1/services/mqtt/data/\mosquitto.db.
